,0
402,ARCN1
403,AREG
404,AREL1
405,ARF1
406,ARF3
407,ARF4
408,ARF5
409,ARF6
410,ARFGAP1
411,ARFGAP2
412,ARFGAP3
413,ARFGEF1
414,ARFGEF2
415,ARFIP1
416,ARFIP2
417,ARFRP1
418,ARG2
419,ARGFX
420,ARGLU1
421,ARHGAP1
422,ARHGAP11A
423,ARHGAP11B
424,ARHGAP12
425,ARHGAP17
426,ARHGAP18
427,ARHGAP19
428,ARHGAP20
429,ARHGAP21
430,ARHGAP22
431,ARHGAP24
432,ARHGAP25
433,ARHGAP35
434,ARHGAP4
435,ARHGAP45
436,ARHGAP5
437,ARHGAP6
438,ARHGDIA
439,ARHGDIB
440,ARHGEF1
441,ARHGEF10
442,ARHGEF11
443,ARHGEF12
444,ARHGEF18
445,ARHGEF2
446,ARHGEF25
447,ARHGEF39
448,ARHGEF6
449,ARHGEF7
450,ARHGEF9
451,ARID1A
452,ARID1B
453,ARID2
454,ARID3A
455,ARID3B
456,ARID3C
457,ARID4A
458,ARID4B
459,ARID5A
460,ARID5B
461,ARIH1
462,ARIH2
463,ARL1
464,ARL11
465,ARL13B
466,ARL14EP
467,ARL15
468,ARL16
469,ARL17A
470,ARL2
471,ARL2BP
472,ARL3
473,ARL4A
474,ARL4D
475,ARL5A
476,ARL5B
477,ARL6IP1
478,ARL6IP4
479,ARL6IP5
480,ARL6IP6
481,ARL8A
482,ARL8B
483,ARMC1
484,ARMC10
485,ARMC5
486,ARMC6
487,ARMC7
488,ARMC8
489,ARMCX3
490,ARMCX5
491,ARMCX6
492,ARNT
493,ARNT2
494,ARNTL
495,ARNTL2
496,ARPC1A
497,ARPC1B
498,ARPC2
499,ARPC3
500,ARPC4
501,ARPC5
502,ARPC5L
503,ARPP19
504,ARRB1
505,ARRB2
506,ARRDC1
507,ARRDC2
508,ARRDC3
509,ARRDC4
510,ARSK
511,ARV1
512,ARVCF
513,ARX
514,ASAH1
515,ASAH2B
516,ASAP1
517,ASAP3
518,ASB1
519,ASB13
520,ASB3
521,ASB6
522,ASB7
523,ASB8
524,ASCC1
525,ASCC2
526,ASCC3
527,ASCL1
528,ASCL2
529,ASCL3
530,ASCL4
531,ASCL5
532,ASF1A
533,ASF1B
534,ASH1L
535,ASH2L
536,ASIC4
537,ASL
538,ASMTL
539,ASNS
540,ASNSD1
541,ASPH
542,ASPM
543,ASPSCR1
544,ASRGL1
545,ASXL1
546,ASXL2
547,ATAD1
548,ATAD2
549,ATAD2B
550,ATAD3A
551,ATAD3B
552,ATAD5
553,ATE1
554,ATF1
555,ATF2
556,ATF3
557,ATF4
558,ATF5
559,ATF6
560,ATF6B
561,ATF7
562,ATF7IP
563,ATF7IP2
564,ATG10
565,ATG12
566,ATG13
567,ATG16L1
568,ATG2A
569,ATG2B
570,ATG3
571,ATG4A
572,ATG4B
573,ATG4C
574,ATG4D
575,ATG5
576,ATG7
577,ATG9A
578,ATIC
579,ATL1
580,ATL2
581,ATL3
582,ATM
583,ATMIN
584,ATN1
